2
РЕГ start. size: 2
ТОИАС start. size: 1
k: k: 0
sock for recv: 5
0
sock for recv: 4
channel from: 7
РЕГ accepted
k: 1
РЕГ finish
channel from: 6
ТОИАС accepted
ТОИАС finish
after join
after join
ТОИАС получил сообщений 9999 цепочек 9999
ТОИАС отправил сообщений 9999 цепочек 9999
Mаксимальная длина очереди: 248
РЕГ получил сообщений 19998 цепочек 9999
Mаксимальная длина очереди: 223
ТОИАС
3 832084216290
2 832087052706
3 832096783740
10 832099517909
2 832101965760
3 832103898262
2 832107019628
4 832117516346
48 832159420968
15 832159447510
3 832161253771
26 832186954779
2 832197325572
15 832204615253
2 832207173752
3 832216806063
10 832221472186
4 832223184158
3 832225885429
17 832244380168
6 832256921629
10 832259069824
3 832262126492
2 832266978808
6 832276962570
11 832281108374
24 832316846882
13 832318819046
3 832320588914
4 832325290702
2 832327742528
21 832348700644
19 832376990207
13 832380116267
3 832382843656
2 832384958319
2 832386981199
19 832417699937
23 832436877508
14 832446524652
16 832459314263
2 832462345773
3 832462351208
3 832465331022
3 832467319813
31 832498442167
5 832503282952
35 832538421601
2 832540606449
20 832560258859
2 832579354854
20 832583309292
3 832585631954
4 832596854063
93 832701724722
2 832721004703
3 832721016572
2 832721024616
4 832721043818
38 832721320073
4 832724293243
3 832726922986
2 832737218873
10 832738888044
19 832758890414
2 832760931218
3 832763965729
2 832766093151
2 832767972384
13 832780760352
4 832785359741
2 832787831430
2 832796898851
10 832800273555
2 832802305238
5 832806084995
13 832819321609
2 832822346056
3 832822351562
3 832824287682
2 832827299190
3 832837309318
11 832841355562
17 832858707668
4 832862027307
3 832865346061
3 832867399273
2 832997812927
5 832997831485
210 833077756833
11 833077774525
2 833079118537
9 833088048833
12 833100706720
3 833102833315
2 833105238480
3 833109205495
14 833122968012
3 833126752140
3 833136491818
9 833138779699
2 833141272402
5 833146304018
2 833148220618
13 833166512284
8 833169127866
11 833180868880
10 833196822758
5 833389388645
2 833389396446
215 833405155629
2 833517869242
3 833517881499
2 833517889146
4 833517904297
113 833519175764
3 833520824169
3 833525138715
14 833539484313
2 833541254240
2 833544353860
3 833546259267
2 833547696577
11 833558603981
9 833569253937
9 833578442522
3 833580870297
2 833584474079
3 833587304404
2 833589246552
16 833605259419
2 833607331452
2 833609085993
9 833618346503
3 833620884794
2 833623610223
3 833625658175
3 833629190574
9 833638146482
2 833640299787
2 833642703132
4 833646389680
2 833649072455
10 833658102547
2 833660405114
2 833661870508
18 833679707230
3 833683940105
3 833687433594
2 833689350363
12 833701755507
6 833707668110
2 833709327628
10 833719153811
2 833721340869
4 833724694811
2 833726804912
13 833741043341
3 833743743824
2 833746397837
2 833748522299
12 833760773639
